"id","map_type_id","model_id/id","field_id/id","in_value","out_value"
"map_gfmis_report_119","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090002,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_120","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090003,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_121","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090004,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_122","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090005,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_123","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090006,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_124","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090007,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_125","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090008,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_126","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090009,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_127","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090010,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_128","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090011,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_129","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090012,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_130","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090013,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_131","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090014,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_132","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090015,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_133","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090016,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_134","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090017,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_135","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090018,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_136","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090019,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_137","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090020,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_138","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090021,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_139","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090022,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_140","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090023,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_141","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090024,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_142","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090025,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_143","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090026,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_144","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090027,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_145","GFMIS Report","account.model_account_account","account.field_account_account_code",1101090028,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_146","GFMIS Report","account.model_account_account","account.field_account_account_code",1101099990,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_147","GFMIS Report","account.model_account_account","account.field_account_account_code",1102010001,"1102050102 - บัญชีลูกหนี้การค้า- บุคคลภายนอก"
"map_gfmis_report_148","GFMIS Report","account.model_account_account","account.field_account_account_code",1102010002,"1102050102 - บัญชีลูกหนี้การค้า- บุคคลภายนอก"
"map_gfmis_report_149","GFMIS Report","account.model_account_account","account.field_account_account_code",1102010003,"1102050102 - บัญชีลูกหนี้การค้า- บุคคลภายนอก"
"map_gfmis_report_150","GFMIS Report","account.model_account_account","account.field_account_account_code",1102010004,"1102050102 - บัญชีลูกหนี้การค้า- บุคคลภายนอก"
"map_gfmis_report_151","GFMIS Report","account.model_account_account","account.field_account_account_code",1102010006,"1201030102 - บัญชีเงินให้กู้ยืมระยะยาว-บุคคลภายนอก"
"map_gfmis_report_152","GFMIS Report","account.model_account_account","account.field_account_account_code",1102019990,"1102050102 - บัญชีลูกหนี้การค้า- บุคคลภายนอก"
"map_gfmis_report_153","GFMIS Report","account.model_account_account","account.field_account_account_code",1102019991,"1102050102 - บัญชีลูกหนี้การค้า- บุคคลภายนอก"
"map_gfmis_report_154","GFMIS Report","account.model_account_account","account.field_account_account_code",1102019992,"1102050102 - บัญชีลูกหนี้การค้า- บุคคลภายนอก"
"map_gfmis_report_155","GFMIS Report","account.model_account_account","account.field_account_account_code",1102019993,"1102050102 - บัญชีลูกหนี้การค้า- บุคคลภายนอก"
"map_gfmis_report_156","GFMIS Report","account.model_account_account","account.field_account_account_code",1103010001,"1102050123 - บัญชีค่าเผื่อหนี้สงสัยจะสูญ - ระยะสั้น"
"map_gfmis_report_157","GFMIS Report","account.model_account_account","account.field_account_account_code",1103019990,"1102050123 - บัญชีค่าเผื่อหนี้สงสัยจะสูญ - ระยะสั้น"
"map_gfmis_report_158","GFMIS Report","account.model_account_account","account.field_account_account_code",1104010001,"1102010102 - ลูกหนี้เงินยืมนอกงบประมาณ"
"map_gfmis_report_159","GFMIS Report","account.model_account_account","account.field_account_account_code",1105010001,"1105010105 - บัญชีวัสดุคงคลัง"
"map_gfmis_report_160","GFMIS Report","account.model_account_account","account.field_account_account_code",1105010002,"1105010105 - บัญชีวัสดุคงคลัง"
"map_gfmis_report_161","GFMIS Report","account.model_account_account","account.field_account_account_code",1105010003,"1105010105 - บัญชีวัสดุคงคลัง"
"map_gfmis_report_162","GFMIS Report","account.model_account_account","account.field_account_account_code",1105010004,"1105010105 - บัญชีวัสดุคงคลัง"
"map_gfmis_report_163","GFMIS Report","account.model_account_account","account.field_account_account_code",1105010005,"1105010105 - บัญชีวัสดุคงคลัง"
"map_gfmis_report_164","GFMIS Report","account.model_account_account","account.field_account_account_code",1105010006,"1105010105 - บัญชีวัสดุคงคลัง"
"map_gfmis_report_165","GFMIS Report","account.model_account_account","account.field_account_account_code",1105010007,"1105010105 - บัญชีวัสดุคงคลัง"
